"Name";"global_id";"Razdel";"Kod";"Nomdescr";"Idx";
"Аппараты наборно-программирующие";"273512645";"C";"28.99.12.112";"";"C.28.99.12.112";
"Машины наборные шрифтолитейные";"273512647";"C";"28.99.12.113";"";"C.28.99.12.113";
"Машины наборные линеечно-пробельные";"273512648";"C";"28.99.12.114";"";"C.28.99.12.114";
"Машины наборные буквоотливные";"273512650";"C";"28.99.12.115";"";"C.28.99.12.115";
"Машины наборные строкоотливные";"273512652";"C";"28.99.12.116";"";"C.28.99.12.116";
"Машины рельефно-наборные";"273512653";"C";"28.99.12.117";"";"C.28.99.12.117";
"Оборудование наборное прочее";"273512655";"C";"28.99.12.119";"";"C.28.99.12.119";
"Оборудование для изготовления печатных форм";"273512656";"C";"28.99.12.120";"";"C.28.99.12.120";
"Оборудование фоторепродукционное, копировальное и для обработки фотоматериалов";"273512658";"C";"28.99.12.121";"";"C.28.99.12.121";
"Оборудование травильное для изготовления печатных форм";"273512660";"C";"28.99.12.122";"";"C.28.99.12.122";
"Оборудование электронное гравировальное и цветоделительное";"273512662";"C";"28.99.12.123";"";"C.28.99.12.123";
"Оборудование для изготовления матриц и пластмассовых стереотипов";"273512664";"C";"28.99.12.124";"";"C.28.99.12.124";
"Оборудование литейное для металлических стереотипов";"273512665";"C";"28.99.12.125";"";"C.28.99.12.125";
"Оборудование отделочное для стереотипов и клише";"273512667";"C";"28.99.12.126";"";"C.28.99.12.126";
"Оборудование вспомогательное для изготовления печатных форм";"273512669";"C";"28.99.12.127";"";"C.28.99.12.127";
"Оборудование для изготовления фотополимерных и офсетных печатных форм";"273512671";"C";"28.99.12.128";"";"C.28.99.12.128";
"Оборудование для изготовления печатных форм прочее";"273512672";"C";"28.99.12.129";"";"C.28.99.12.129";
"Оборудование, аппаратура и оснастка для набора, подготовки или изготовления печатных форм, пластин, прочие, не включенные в другие группировки";"273512674";"C";"28.99.12.190";"";"C.28.99.12.190";
"Машины для офсетной печати, кроме машин для офсетной печати офисного типа";"273512676";"C";"28.99.13";"";"C.28.99.13";
"Машины для офсетной печати, кроме машин для офсетной печати офисного типа";"273512678";"C";"28.99.13.000";"";"C.28.99.13.000";
"Оборудование печатное прочее, кроме печатного оборудования офисного типа";"273512679";"C";"28.99.14";"";"C.28.99.14";
"Машины печатные для глубокой печати";"273512681";"C";"28.99.14.110";"";"C.28.99.14.110";
"Машины печатные для трафаретной печати";"273512683";"C";"28.99.14.120";"";"C.28.99.14.120";
"Машины печатные для флексографской печати";"273512685";"C";"28.99.14.130";"";"C.28.99.14.130";
"Машины печатные для комбинированной печати";"273512686";"C";"28.99.14.140";"";"C.28.99.14.140";
"Устройства печатные цифровые цветные";"273512688";"C";"28.99.14.150";"";"C.28.99.14.150";
"Ризографы";"273512690";"C";"28.99.14.160";"";"C.28.99.14.160";
"Оборудование печатное прочее, кроме печатного оборудования офисного типа, не включенное в другие группировки";"273512692";"C";"28.99.14.190";"";"C.28.99.14.190";
"Оборудование и аппаратура, исключительно или в основном используемые для производства полупроводниковых слитков или пластин, полупроводниковых устройств, электронных интегральных микросхем или плоскопанельных дисплеев";"273512693";"C";"28.99.2";"";"C.28.99.2";
